House Value Upkeep
1	118.5	706.04
2	76.54	398.6
3	92.43	436.24
4	111.03	501.71
5	80.34	426.45
6	49.84	144.24
7	114.52	644.23
8	50.89	211.54
9	128.93	675.87
10	48.14	189.02
11	85.5	459.04
12	115.51	813.62
13	114.16	602.39
14	102.95	428.52
15	92.86	387.5
16	84.39	434.63
17	123.53	698
18	77.77	355.75
19	112.1	737.59
20	101.02	706.66
21	76.52	424.57
22	116.09	656.92
23	62.72	301.03
24	84.91	321.07
25	88.64	519.4
26	81.41	348.5
27	60.22	162.17
28	95.55	482.55
29	79.39	460.07
30	89.25	475.45
31	136.1	835.16
32	24.45	62.7
33	52.28	239.89
34	143.09	1005.32
35	41.86	184.18
36	43.1	212.8
37	66.79	313.45
38	106.43	658.47
39	61.01	195.08
40	99.01	545.42
